state,hate_crime
AK,41
AL,55
AR,122
AZ,1078
CA,5433
CO,782
CT,486
DC,878
DE,100
FL,616
GA,500
IA,72
ID,160
IL,433
IN,543
KS,403
KY,1110
LA,199
MA,1827
MD,243
ME,195
MI,2123
MN,714
MO,479
MS,135
MT,117
NB,255
NC,1057
ND,79
NH,102
NJ,3330
NM,195
NV,273
NY,2749
OH,2107
OK,180
OR,831
PA,341
RI,67
SC,357
SD,90
TN,681
TX,1709
UT,243
VA,849
VT,210
WA,2349
WI,334
WV,300
WY,30
FS,400
HI,120
