state,hate_crime
AZ,61
CA,232
CO,26
CT,28
DC,18
FL,18
GA,7
IA,6
ID,4
IL,14
IN,17
KS,11
KY,42
LA,6
MA,63
NC,47
NH,4
NJ,184
NM,15
NV,22
NY,165
OH,129
OK,11
OR,47
PA,13
SC,14
TX,60
VA,29
VT,4
WA,82
WI,17
WV,12
WY,1
AK,2
AL,4
AR,1
DE,4
MI,52
MN,22
MO,18
MS,3
ND,5
TN,39
UT,7
FS,3
HI,5
NB,5
SD,2
ME,3
MT,3
RI,3
MD,1
