YEAR,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,18_24_BACHELOR_HIGHER,25_34_BACHELOR_HIGHER,35_44_BACHELOR_HIGHER,45_64_BACHELOR_HIGHER,65_MORE_BACHELOR_HIGHER,WHITE_PER_CAPITA,BLACK_PER_CAPITA,ASIAN_PER_CAPITA,ONE_RACE_RATIO,FOREIGN_BORN_NON_US_RATIO,SCHOOL_ENROLLMENT_RATE,ALL_HATE_CRIME,BLACK_HATE_CRIME,ASIAN_HATE_CRIME,ALL_HC_PER_CAPITA,BLACK_HC_PER_CAPITA_POP,BLACK_HC_PER_CAPITA_RACE_POP,ASIAN_HC_PER_CAPITA_POP,ASIAN_HC_PER_CAPITA_RACE_POP,BACHELOR_RATE
2018.0,48457.4,67117.2,4865210.2,4769728.8,3316654.6,1292554.6,64469.4,104868.0,17.32,6.760000000000001,1181799.6,34797.4,167871.4,169966.8,319758.4,168816.4,68.17228805740044,26.567124928954314,1.3249353473673087,98.03825670262253,2.1556348529931166,24.29186597252499,11.0,5.0,0.8,0.4580207642453008,0.0950957889549913,1.8938958387714784,0.08194455457204544,1.3606485748341723,17.70140167838997
2018.0,76540.6,96115.2,737598.8,674196.6,477459.8,24074.6,45917.4,24266.6,10.419999999999998,7.459999999999999,186682.6,4795.6,30941.0,29530.8,55415.0,24108.6,64.73140705836221,3.263938832416047,6.225234851540353,91.40413841016968,3.289931324967911,25.309379299847983,8.2,2.4,0.4,0.5141974223336438,0.1554605401838251,0.6936780549264663,0.02697060484344509,0.711827978095674,19.630048205067578
2018.0,56307.4,77309.4,6941914.2,6646713.4,5322782.2,305553.4,223987.2,532193.6,16.0,6.659999999999999,1758654.8,54435.2,262924.0,263115.4,483772.6,335663.4,76.70370529423359,4.399174419897173,3.2241720475937337,95.77267215146192,7.67237760946517,25.34579004316362,215.6,79.2,12.2,6.807677162012344,2.2804072125240737,155.7289502260591,0.5034745465887829,14.979105901379006,20.16606024891521
2018.0,45789.4,64073.2,2989666.0,2906812.0,2296630.8,459791.8,43905.8,96416.6,17.52,5.799999999999999,736831.6,22666.6,98307.2,96119.8,163121.2,94337.0,76.82284788090881,15.37991850792966,1.4683260359837833,97.23143782883572,3.2249043532066004,24.647784047989962,24.4,10.8,0.2,1.1547926050793336,0.5438696920561268,34.52056796416644,0.006900615948979606,0.2577153533921784,15.873070771116238
2018.0,71217.4,101456.8,39083066.6,36973310.6,23264767.4,2263600.4,5597870.8,5151903.6,14.24,7.08,10458700.0,398819.2,2092630.6,1870672.2,3113981.2,1640026.8,59.53510599618903,5.792003547137273,14.321021474842018,94.60661984107128,13.184303793720645,26.762390592631895,1086.6,454.4,46.4,21.15754174114587,8.951061460368892,68.47940697917657,0.8503166953640535,41.97274208367942,23.32501206545548
2018.0,68870.2,92639.0,5524446.0,5301861.0,4619144.4,227556.2,170973.8,313088.6,10.940000000000001,4.959999999999999,1393360.2,63304.4,345236.0,327421.0,558166.6,274992.8,83.6294449678554,4.118459999858482,3.092875637108798,95.9860815195813,5.672506037721276,25.23334605336759,156.4,57.6,5.2,8.687038909254351,3.162937900239933,248.1500427844005,0.31304813914813556,19.019899528008146,28.40322450432134
2018.0,75988.2,109335.0,3582035.0,3457491.2,2724809.8,378555.0,158513.6,249938.4,10.040000000000001,6.74,909040.2,54082.8,190199.2,189722.2,397601.8,188118.8,76.06669770687039,10.568438667726088,4.4254783321962545,96.52183732238879,6.9772928828137655,25.376971048414195,97.2,31.2,5.6,4.178664644423604,1.3488323383580152,61.11220442757251,0.2380420395136229,16.282974308236735,28.467750873456012
2018.0,65415.4,86788.0,950569.8,922020.6,652980.2,208861.2,36648.2,45480.4,11.84,6.14,230006.8,8592.4,42255.2,39002.8,79978.0,46864.6,68.70039286053479,21.970885038056647,3.8543775449819484,97.00071903628248,4.784864981685794,24.20318229445001,20.0,6.4,0.8,0.561995993262331,0.24280516024317417,4.901426401770346,0.020365541763593294,0.7656141746180506,22.79611660290491
2018.0,53282.6,76594.2,20585919.4,19905605.6,15381137.4,3308865.0,557155.6,1879814.2,14.74,6.58,4732134.8,162268.8,789075.2,799396.6,1573305.6,1126374.2,74.74466572630732,16.074863853821462,2.7052715068449396,96.71754026596503,9.133634537645008,22.99472440916123,123.2,42.6,3.6,5.841989830673651,2.1589701865116284,141.7185573195073,0.31034830712378964,19.887046603334696,21.618759471097516
2018.0,55923.4,78570.8,10303773.0,10029527.6,6060068.0,3238313.2,402902.8,591506.2,16.02,6.739999999999999,2754474.2,91942.8,453128.6,473514.8,818741.0,341018.6,58.8260628063605,31.426258706033344,3.908167876488052,97.34515461711916,5.742234630818948,26.739135983776055,100.0,26.6,1.4,6.33143507016281,1.4149483339908318,63.899005414375665,0.14958361158393982,15.811267571698618,21.141244086025573
2018.0,77886.4,99526.2,1419905.6,1079600.0,352866.6,26152.6,537327.0,108593.0,9.940000000000001,4.76,327058.6,11041.4,63837.8,65389.8,118090.2,73382.6,24.85142640236846,1.8418508435853334,37.84259869560633,76.03332402420405,7.648005037272187,23.034356198858095,24.0,7.8,1.0,1.1473603523046514,0.39809134439273003,3.4317865317826404,0.018394123151229673,0.6069029137408889,23.36365178079444
