year,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher,Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher,Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher
2016,Washington,62848,84022,7073146,6695443,5470566,256990,552032,509042,12.7,6.8,1724293,70395,351788,340899,614156,305316
2016,West Virginia,42644,57779,1846092,1812366,1725411,63305,13990,14239,17.7,7.5,405213,13118,54395,51826,99133,48352
2016,Wisconsin,54610,71459,5754798,5628875,4961193,361730,148077,155467,12.7,5.5,1462332,59361,245009,232688,435829,190556
2016,Wyoming,59143,74667,583029,567498,531851,6435,5385,12683,11.6,4.9,149521,3548,21907,19097,39777,19893
2016,Puerto Rico,19606,30962,3529385,3264621,2448085,320087,9574,null,45.1,17.7,906392,26064,130078,140817,232475,87480
2017,Alabama,46472,64476,4850771,4761937,3317702,1287167,62815,106217,18,7.4,1188682,34144,163183,166115,315820,158460
2017,Alaska,76114,94469,738565,675852,481971,23702,45604,24207,10.2,7.7,189481,4989,31238,28790,55171,22622
2017,Arizona,53510,73735,6809946,6572038,5277661,292831,213417,536708,17,7.1,1751835,50643,251123,251804,469818,311912
2017,Arkansas,43813,61330,2977944,2906122,2302141,459969,42368,96397,18.1,6.3,741993,21915,95778,92932,160419,88299
2017,California,67169,96104,38982847,37148133,23607242,2263222,5503672,5250604,15.1,7.7,10518223,384834,2009177,1815110,3074723,1554721
2017,Colorado,65458,88388,5436519,5247610,4576201,221155,164771,320192,11.5,5.2,1390638,59652,326654,317556,547357,254906
2017,Connecticut,73781,105998,3594478,3483824,2757064,376240,156450,254388,10.1,7.2,919823,52301,187454,187564,399623,178558
2017,Delaware,63036,84146,943732,917472,652170,206290,36553,45639,12.1,6.4,232461,9086,41824,38933,78503,42509
2017,District of Columbia,77649,116090,672391,653098,273471,321062,25558,55262,17.4,8,166054,16663,111257,58958,67129,33079
2017,Florida,50883,72993,20278447,19763624,15343997,3270863,543394,1871063,15.5,7.2,4707573,154508,749399,766303,1525467,1054689
2017,Georgia,52977,74763,10201635,9964394,6061821,3195268,388946,596894,16.9,7.5,2756619,87541,433498,463280,789413,317340
2017,Hawaii,74923,95569,1421658,1083160,357308,25884,540556,108079,10.3,4.9,330239,11059,63832,63756,118878,68884
2017,Idaho,50985,67338,1657375,1613461,1507880,11231,22720,60680,14.5,5.4,445420,10510,55741,63541,105865,59994
2017,Illinois,61229,85262,12854526,12543129,9236701,1833501,671811,913882,13.5,7.4,3333318,160396,724287,631513,1083206,459578
2017,Indiana,52182,69197,6614418,6460980,5546787,613060,137680,206958,14.6,6.1,1697392,63476,255136,239441,423521,188210
