year,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher,Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher,Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher
2019,South Carolina,53199,73520,5020806,4904876,3372011,1344139,78805,147485,15.2,5.8,1192839,43059,196477,189813,356474,226515
2019,South Dakota,58275,76240,870638,847801,733719,17531,12627,19843,13.1,3.4,215557,8911,38190,32950,58796,35144
2019,Tennessee,53320,74750,6709356,6561820,5205132,1124473,117600,209885,15.2,5.3,1568653,62712,291314,261727,461941,239163
2019,Texas,61874,87260,28260856,27499445,20903375,3428211,1357273,3006911,14.7,5.1,7681758,247477,1295790,1245260,1955931,923695
2019,Utah,71621,91292,3096848,3002812,2676482,36849,71977,158120,9.8,3.6,984917,24419,154816,157511,201392,106786
2019,Vermont,61973,81233,624313,611713,587883,8502,10461,13331,10.9,3.6,145649,8640,30202,29776,65276,42229
2019,Virginia,74222,101746,8454463,8134188,5717617,1621592,541133,501148,10.6,4.6,2126976,106143,485895,488245,859053,407167
2019,Washington,73775,98983,7404107,6970721,5581128,281683,631333,553179,10.8,5,1750198,76299,427736,388516,650056,371304
2019,West Virginia,46711,63680,1817305,1785170,1691600,66990,14523,14631,17.6,6.5,387707,13634,54775,52911,98502,59210
2019,Wisconsin,61747,80674,5790716,5652144,4946961,371200,161841,157612,11.3,3.6,1411273,64325,263030,249828,447369,231102
2019,Wyoming,64049,81880,581024,565503,531304,5582,5025,12076,11,4.5,144936,3929,21333,22227,38501,24794
2019,Puerto Rico,20539,32924,3318447,3142798,2188014,386676,6237,null,44.1,16.1,800195,28812,128381,131692,240769,106041
2020,Alabama,52035,71964,4893186,4773864,3302834,1301319,67909,101125,16,5.6,1168551,36328,176282,177156,332235,191371
2020,Alaska,77790,98811,736990,668158,466961,23894,47289,23787,10.3,7.2,180787,4299,30216,31537,55357,27857
2020,Arizona,61529,84380,7174064,6674467,5292498,325105,239190,518823,14.1,5.8,1760360,62697,288209,287406,510902,382181
2020,Arkansas,49475,69357,3011873,2891893,2269959,457840,46130,98118,16.1,5.2,725947,24597,104782,103690,168181,106042
2020,California,78672,111622,39346023,36224007,22053721,2250962,5834312,4930125,12.6,6.2,10331447,426968,2266953,1986845,3193968,1809107
2020,Colorado,75231,100933,5684926,5347697,4634305,235692,181733,297054,9.8,4.6,1388732,69126,378703,348097,581216,314837
2020,Connecticut,79855,115337,3570549,3397902,2649994,382161,163262,241531,9.8,6,888200,58367,196365,195268,395887,208480
2020,Delaware,69110,92308,967679,930112,652587,212795,38528,44205,11.4,5.8,225882,8138,43887,39884,83035,55237
2020,District of Columbia,90842,133587,701974,672229,288306,318631,28762,51248,15.5,7.1,168035,18140,118091,69288,72305,40291
2020,Florida,57703,83104,21216924,19939907,15199588,3381061,590668,1889101,13.3,5.4,4774888,179461,861773,864860,1669520,1263793
2020,Georgia,61224,85691,10516579,10123410,6020265,3319844,434603,582832,14.3,5.6,2743653,101486,493697,494899,873289,390777
2020,Hawaii,83173,107348,1420074,1075156,342923,26717,534519,107122,9.3,4.6,318529,10898,64850,69630,116998,83011
2020,Idaho,58915,77399,1754367,1679271,1550979,11536,24501,58823,11.9,4.2,456826,12811,63022,73876,114392,77057
2020,Illinois,68428,95115,12716164,12176612,8874067,1796660,709567,849567,12,6,3166891,169308,754461,670731,1114169,545913
2020,Indiana,58235,76984,6696893,6474302,5510354,631923,158705,212224,12.9,4.7,1654841,70223,275016,262544,446152,229082
2020,Iowa,61836,80316,3150011,3057032,2806418,117035,79296,100493,11.1,3.9,785736,37169,141732,138391,213098,123894
2020,Kansas,61091,82103,2912619,2772574,2416165,165837,87093,119639,11.4,4.1,758270,33338,139452,136417,236638,136106
2020,Kentucky,52238,72318,4461952,4337236,3848305,361230,68139,104872,16.6,5.4,1043315,39681,170054,162910,277772,148596
2020,Louisiana,50800,73759,4664616,4538963,2856904,1500633,80930,113130,18.6,6.6,1145889,36055,176581,168336,270865,164765
2020,Maine,59489,78301,1340825,1303865,1256030,18635,15270,21731,11.1,4,278782,13324,58195,57285,117734,85961
2020,Maryland,87063,114236,6037624,5766485,3275048,1803128,384429,428772,9,5.2,1520676,77886,357552,358064,656177,331385
2020,Massachusetts,84385,115964,6873003,6544759,5261787,513369,466044,531066,9.8,5.1,1702976,132551,528098,430011,782001,404032
2020,Michigan,59234,80803,9973907,9597627,7735902,1360149,316844,317437,13.7,6,2400867,109243,439084,405852,777538,432657
2020,Minnesota,73382,96814,5600166,5382715,4572149,359817,275242,213520,9.3,3.8,1392298,72740,324904,302154,511659,259858
2020,Mississippi,46511,65156,2981835,2931805,1729353,1123545,29742,40199,19.6,7.1,754722,20240,89619,92866,168057,100657
2020,Missouri,57290,78194,6124160,5909842,4978046,698043,123810,127456,13,4.5,1459812,62467,284322,264668,454432,247162
2020,Montana,56539,76834,1061705,1021000,932157,5919,8664,9900,12.8,4.2,238528,10013,46813,48990,85496,62197
2020,Nebraska,63015,82306,1923826,1847889,1641256,91896,47944,86499,10.4,3.4,505631,23712,98387,92914,140795,77219
2020,Nevada,62043,84350,3030281,2801800,1881048,282722,252314,289681,12.8,6.6,697235,15722,109145,107481,188356,128015
2020,New Hampshire,77923,101292,1355244,1315392,1246602,21045,36581,35600,7.4,3.8,301741,17865,69692,66950,144705,83338
2020,New Jersey,85245,117868,8885418,8457807,5820147,1189681,857873,859107,9.7,5.8,2192185,135486,538832,541870,978829,453531
2020,New Mexico,51243,70241,2097021,1926719,1467849,43476,33695,110163,18.6,6.6,526666,13509,70807,71470,141572,114439
2020,New York,71117,105304,19514849,18593296,12160045,3002401,1674216,1820698,13.6,5.7,4656339,316668,1334759,1057479,1767028,953526
2020,North Carolina,56642,79620,10386227,10007858,7019443,2217522,308958,494703,14,5.4,2521615,105258,485091,481568,852979,454252
2020,North Dakota,65315,85506,760394,736452,651470,23959,11979,19388,10.5,3.1,185329,11984,40725,35568,49308,27052
2020,Ohio,58116,78797,11675275,11260126,9394878,1442655,268527,255314,13.6,5.3,2771293,112850,520865,487635,849887,457152
2020,Oklahoma,53840,74195,3949342,3604505,2809793,287856,87033,148515,15.3,5.1,992436,29728,143664,138704,244941,155593
2020,Oregon,65667,88137,4176346,3918374,3449081,79117,187801,217482,12.4,5.5,948174,37829,213961,221041,342672,235370
2020,Pennsylvania,63627,87262,12794885,12361860,10155004,1419582,449320,410853,12,5.4,2908512,154833,689323,595808,1045687,575699
2020,Rhode Island,70305,92427,1057798,1005477,835608,69196,36536,64282,11.6,5.5,255231,14387,59889,49177,94950,55628
2020,South Carolina,54864,76390,5091517,4939806,3386329,1346560,83573,148856,14.7,5.5,1187922,45831,205645,197560,369555,245546
2020,South Dakota,59896,77932,879336,849316,735228,18836,12413,21724,12.8,3.5,216402,9793,39017,33993,59801,37180
2020,Tennessee,54833,76937,6772268,6573280,5196680,1128806,122897,206824,14.6,5.3,1560968,65409,304217,274045,477741,252969
2020,Texas,63826,89506,28635442,26637358,19805623,3464424,1415664,2935368,14.2,5.3,7719304,272345,1353535,1308154,2018597,981892
2020,Utah,74197,94452,3151239,3017588,2682881,38059,73190,154835,9.1,3.6,992124,24981,161253,164557,205682,116578
2020,Vermont,63477,83767,624340,607205,584360,7964,10126,12665,10.8,3.8,142422,8149,32583,31692,65843,45210
2020,Virginia,76398,106023,8509358,8103572,5643436,1620649,570398,495416,10,4.6,2110795,111937,499935,502708,867004,434843
2020,Washington,77006,103669,7512465,6980489,5523881,290245,662902,567057,10.2,4.9,1753707,80776,451242,405825,657059,393112
2020,West Virginia,48037,65332,1807426,1763666,1672255,64285,14228,14596,17.1,6.5,378326,14131,55167,55997,98802,63459
2020,Wisconsin,63293,82757,5806975,5612411,4895065,367889,163396,153679,11,3.6,1393087,66641,269169,257626,453528,246224
2020,Wyoming,65304,83583,581348,558630,525246,5079,4892,11739,10.8,4.4,145076,4334,21190,23173,39264,27072
2020,Puerto Rico,21058,33315,3255642,2940261,1952451,367906,5882,null,43.4,15.1,761464,29781,131584,130737,244310,115169
