"MEDIAN_INCOME","POP","WHITE_PER_CAPITA","BLACK_PER_CAPITA","ASIAN_PER_CAPITA","FOREIGN_BORN_NON_US_RATIO","POVERTY_PERCENT","UNEMPLOYMENT_RATE","SCHOOL_ENROLLMENT_RATE","BACHELOR_RATE","ALL_HC_PER_CAPITA","BLACK_HC_PER_CAPITA_POP","ASIAN_HC_PER_CAPITA_POP"
48457.4,4865210.2,68.1722880574004,26.5671249289543,1.32493534736731,2.15563485299312,17.32,6.76,24.291865972525,17.70140167839,0.458020764245301,0.0950957889549913,0.0819445545720454
76540.6,737598.8,64.7314070583622,3.26393883241605,6.22523485154035,3.28993132496791,10.42,7.46,25.309379299848,19.6300482050676,0.514197422333644,0.155460540183825,0.0269706048434451
56307.4,6941914.2,76.7037052942336,4.39917441989717,3.22417204759373,7.67237760946517,16,6.66,25.3457900431636,20.1660602489152,6.80767716201234,2.28040721252407,0.503474546588783
45789.4,2989666,76.8228478809088,15.3799185079297,1.46832603598378,3.2249043532066,17.52,5.8,24.64778404799,15.8730707711162,1.15479260507933,0.543869692056127,0.00690061594897961
71217.4,39083066.6,59.535105996189,5.79200354713727,14.321021474842,13.1843037937206,14.24,7.08,26.7623905926319,23.3250120654555,21.1575417411459,8.95106146036889,0.850316695364054
68870.2,5524446,83.6294449678554,4.11845999985848,3.0928756371088,5.67250603772128,10.94,4.96,25.2333460533676,28.4032245043213,8.68703890925435,3.16293790023993,0.313048139148136
75988.2,3582035,76.0666977068704,10.5684386677261,4.42547833219625,6.97729288281377,10.04,6.74,25.3769710484142,28.467750873456,4.1786646444236,1.34883233835802,0.238042039513623
65415.4,950569.8,68.7003928605348,21.9708850380566,3.85437754498195,4.78486498168579,11.84,6.14,24.20318229445,22.7961166029049,0.561995993262331,0.242805160243174,0.0203655417635933
53282.6,20585919.4,74.7446657263073,16.0748638538215,2.70527150684494,9.13363453764501,14.74,6.58,22.9947244091612,21.6187594710975,5.84198983067365,2.15897018651163,0.31034830712379
55923.4,10303773,58.8260628063605,31.4262587060333,3.90816787648805,5.74223463081895,16.02,6.74,26.7391359837761,21.1412440860256,6.33143507016281,1.41494833399083,0.14958361158394
77886.4,1419905.6,24.8514264023685,1.84185084358533,37.8425986956063,7.64800503727219,9.94,4.76,23.0343561988581,23.3636517807944,1.14736035230465,0.39809134439273,0.0183941231512297
53589.6,1690556.8,90.2278324073843,0.670083341902028,1.38229355967798,3.58796644412261,13.7,4.96,26.619829272421,18.263331938921,1.76329088461191,0.55494929306141,0.0911942640894889
63662.8,12802900.4,71.3959465540449,14.223872068451,5.35337847741524,6.98370968121857,13.02,6.82,25.6090618189786,24.3747908872274,1.86559226464593,0.658460226820814,0.0456188318944723
54295.6,6640803.6,83.4075194187348,9.3335805366943,2.17842749187186,3.13401630135442,14,5.58,25.3572416556454,18.1529205290757,2.74453132070473,1.00320810804568,0.0918740617007432
58415.8,3129341.8,90.1717451458263,3.53430932981051,2.35046801138326,3.14719753980785,11.72,4.02,25.5901484911988,19.8742368123546,0.574820026576051,0.202503267029116,0.0211540592543544
57431.6,2906831.8,84.4033909784174,5.79398761589143,2.85349788222894,4.31443359171487,12.38,4.54,26.7138562631102,22.4867431270017,2.52858845730331,1.13521520472377,0.0630565204586922
48513,4437514.6,87.0123343466289,8.01147197195461,1.40950948882293,2.2869160726756,17.78,6.3,23.9939781480525,16.8980356706883,12.4011607650822,2.53419014682543,0.133941085627209
48114.6,4660345,62.0953102144639,32.1922766377869,1.72219799267742,2.43140951229929,19.3,6.98,24.9125438664944,16.6163749679476,1.81115498489866,0.664840215755387,0.0152533437840694
55336.4,1333842.2,94.3775754670542,1.32222259080504,1.12067957753767,1.59672807624979,12.36,4.8,21.5840455284262,23.3911927512865,1.15709637266691,0.346157684850461,0.00717192735506969
81743.8,6003177.6,55.9567577803984,29.7788241451116,6.23681122442158,7.32041657954505,9.44,5.74,25.7239426172009,28.4073288119945,2.64080687159647,0.434788415488203,0.00411126733927
77619.8,6817042.2,78.2576551688629,7.43738553400925,6.44992209816691,7.70573295486547,10.68,5.62,25.3691795328274,31.6718326901365,14.9085902966831,4.96342500912883,0.81168783340684
54957.4,9946365.6,78.4200684886451,13.7958658017886,3.01345338126205,3.19818246812191,15,6.86,24.9835134529381,20.518169973563,25.8651022619525,9.01794456323,0.309573176859585
68403,5526499.2,83.1823384525016,6.13631735593078,4.73424103076804,4.01244241802613,10.08,4.08,25.2679392663318,25.1909961373015,5.15043546362699,1.81378683774126,0.14238603539284
43539.2,2986085.4,58.5598139436866,37.6339619020429,0.971731050092008,1.41310947525418,20.9,8.24,26.111156185626,14.9876758380721,0.82115910347568,0.366036026142847,0.0123400211924812
53489.2,6090816.6,82.1175402483689,11.5232605799948,1.91107890490167,2.14406113948744,14.16,5.32,24.5736790340774,20.4332929676457,1.73784466101031,0.613722523404088,0.0779263693629965
52649.8,1041467.8,88.6610303364704,0.470776394537994,0.763840087573702,0.978858692762765,13.78,4.56,22.8197014658332,22.3645896685428,1.31508313001874,0.516121512640901,0.0193887076230457
58925.8,1903667.4,87.1428108419239,4.76176906685785,2.3072258001037,4.39800923614962,11.5,3.64,26.6084497112765,21.5681058571471,1.75660139993225,0.486885274910997,0.0590853322168657
57706.8,2930481.8,65.8037003702606,8.94422573863734,8.07974947677095,9.96632720633485,13.74,7.4,23.7299335586769,17.1009422409653,1.7583574277661,0.653406681011476,0.106547956669567
73707.6,1341268.2,92.9997585895423,1.4787875318553,2.59807699268866,2.69649318355073,7.9,4.2,23.0838588658716,27.1841828502309,1.75861355431289,0.856270115459786,0.0357218502591044
79466,8904276.6,67.4521605899188,13.4674075807077,9.41980415572042,9.85826445051593,10.34,6.46,25.0331680988213,28.3072922510067,51.5158831966499,19.8887956209068,3.00164354096675
48289.6,2089881.2,73.4090337374929,2.0550336327875,1.50175498453281,5.78383928619071,19.84,7.34,25.9212943243055,18.7325002014469,2.00469798689051,0.929839250267392,0.0939005961300505
65686.4,19640261.2,63.5822193734788,15.5900340080586,8.35496486659359,9.8462012767449,14.58,6.3,24.3819931761493,26.504628156371,31.4163714520473,12.5113125393439,2.01095167747144
52446.6,10160023.8,68.6771065605001,21.4464836287991,2.76932181914039,4.88519425444648,15.4,6.56,24.8505761253022,21.6777070935602,6.02881245870531,1.84519900877928,0.255770795406206
62816.2,750189.8,87.071291103129,2.62174399752941,1.41961481932302,2.29949989651853,10.86,2.84,24.4460097526435,20.7091058822714,0.383018893796621,0.135445122936062,0.0237292601877556
54466.4,11633849.6,81.4604068276536,12.3385268775207,2.12597060430775,2.15562446909153,14.48,6.02,24.4851933505757,19.8857874181217,12.017200690344,4.05842714493909,0.778136912997708
51197.6,3914437.8,72.2676720279428,7.29235500836389,2.11412938937279,3.84343594216058,15.94,5.44,25.564693873283,17.3331148600701,1.590555952832,0.474550399736894,0.0818714274799022
59453.4,4079097.2,84.2503541709382,1.89210872455215,4.25981426543866,5.53781494165758,14.06,6.38,23.4075718181314,23.8689825778116,3.90352667940104,1.43120033022615,0.193499123847322
59332.4,12790415.6,80.6511217671312,11.1047741582764,3.33533957622267,3.17481045443479,12.72,6.04,23.2355628052535,22.6488840597173,2.72218309093213,0.895055173679165,0.0819922970803531
64039.6,1056453.8,80.4496131833992,6.57370569208243,3.37559226296341,6.18795010879085,12.86,6.3,24.6965321569758,24.6847708816041,0.66063324764864,0.185181022246748,0.00810361060422276
50951.4,4959259.4,67.0957427020261,26.9636835952635,1.5230437716434,2.9020229597681,15.94,6.66,24.1233237176285,19.7318656088044,6.88884500299253,2.6032649611551,0.128984886375746
56174.8,864153,84.3612076176438,1.8814233837229,1.40547620782018,2.21414475199435,13.48,3.64,25.0220861330356,19.6259458683821,0.325537733016505,0.102579992178838,0.0061096900935444
50881.4,6655620.6,77.5222902767504,16.7645146330233,1.71016746212013,3.09403379626792,15.96,6.12,23.6425560437247,19.1217059457987,9.09610183963097,3.54515156118699,0.198234621572283
59409.6,27831508,73.3789671311222,12.0472220457888,4.66185498721687,10.6391379792513,15.42,5.6,27.360771527394,19.6355971800019,9.82973832811963,3.85038989270635,0.308302352006832
68407,3047161,86.4179590039996,1.16016479319503,2.28699774484757,5.11270378585688,10.38,4.12,31.9033479694088,20.2643444176399,1.41760788403428,0.534982044240993,0.046162347561403
59887.6,624903,94.2624266807512,1.27542145076989,1.60217195001629,2.0590511899011,11.18,4.18,23.3701086790142,27.7849202196181,2.01078753138449,0.645588495249513,0.0432518037341133
71419.8,8410769.6,67.8168971620659,19.1599391646696,6.33783142536608,5.92047152922751,10.82,5.12,25.3891867621807,27.2616646162796,7.12340052532842,2.27330311096201,0.242773269637158
69983.8,7290804.2,75.8006394906829,3.73025893696738,8.31114296923357,7.37082337270457,11.48,5.6,23.8632135918721,25.1869443977113,17.891402720415,5.93343446132973,0.493552191198124
45274.8,1827344,93.1186724938779,3.57506323200267,0.781237264386005,0.796004983653497,17.6,6.88,21.4888093645375,15.0868364139429,3.94001590639546,2.26140914611108,0.064023264604215
59123.6,5778820,85.4857654271697,6.35226030470307,2.71651499627806,2.69692178973751,11.84,4.28,24.6939492526396,21.2195396291977,2.38546466799096,1.34266259161787,0.074841574975907
62340.4,582087.4,91.1477793786333,0.987961597455407,0.864442130802317,2.12626325272352,11.12,4.6,25.1632400383393,18.7620621920351,0.334839843278553,0.226498426886359,0.00266224202042871
