YEAR,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,18_24_BACHELOR_HIGHER,25_34_BACHELOR_HIGHER,35_44_BACHELOR_HIGHER,45_64_BACHELOR_HIGHER,65_MORE_BACHELOR_HIGHER,STATE_ABBR,WHITE_PER_CAPITA,BLACK_PER_CAPITA,ASIAN_PER_CAPITA,ONE_RACE_RATIO,FOREIGN_BORN_NON_US_RATIO,SCHOOL_ENROLLMENT_RATE,BACHELOR_HIGHER_RATIO,ALL_HATE_CRIME,BLACK_HATE_CRIME,ASIAN_HATE_CRIME,ALL_HC_PER_CAPITA,BLACK_HC_PER_CAPITA_POP,BLACK_HC_PER_CAPITA_RACE_POP,ASIAN_HC_PER_CAPITA_POP,ASIAN_HC_PER_CAPITA_RACE_POP
2016,California,63783,91149,38654206,36867047,23680584,2261835,5354608,5298355.0,15.8,8.7,10551711,377702,1916280,1766149,3024682,1469376,CA,61.262632066481984,5.851458958955204,13.852588253914721,95.37654712141804,13.707059459454426,27.297704679278628,22.130034180497717,928.0,318.0,63.0,15.570725827370987,5.335658203775834,18.007549580220235,1.0570643611254011,17.39087227646518
2017,California,67169,96104,38982847,37148133,23607242,2263222,5503672,5250604.0,15.1,7.7,10518223,384834,2009177,1815110,3074723,1554721,CA,60.55802440493893,5.805686793476116,14.118188956286337,95.29353512841173,13.469011126868184,26.98166965588737,22.672959212034975,1093.0,458.0,43.0,16.211462735216386,6.793092344674386,93.6159253361895,0.6377794122729228,10.44358520994035
2018,California,71228,101493,39148760,37266533,23529068,2267875,5604339,5184310.0,14.3,6.7,10468812,398121,2093454,1864574,3119659,1641050,CA,60.101694153275865,5.792967644441357,14.315495561034371,95.19211591886946,13.242590569918434,26.74110750889683,23.287731207833914,1063.0,454.0,49.0,10.726971825300717,4.581416000645839,32.9834951752557,0.4944700088802777,17.70429491742211
2019,California,75235,106916,39283497,37360833,23453222,2274108,5692423,5096124.0,13.4,6.1,10423307,406471,2177289,1920683,3156874,1725880,CA,59.7024801534344,5.788965274654647,14.490621850697252,95.10566994582993,12.972684178295024,26.533551735478135,23.896031964771364,1013.0,451.0,34.0,18.584196131698658,8.273911604537114,145.08465416129167,0.6237538681912679,13.77527661970918
2020,California,78672,111622,39346023,36224007,22053721,2250962,5834312,4930125.0,12.6,6.2,10331447,426968,2266953,1986845,3193968,1809107,CA,56.050699202813966,5.7209390641590385,14.828212752277404,92.06523109082715,12.530173634067157,26.257919383618518,24.611994457483036,1336.0,591.0,43.0,44.69435218614261,19.77122914821129,52.70541064292574,1.4385158263503983,150.5496813948603
2016,Colorado,62520,84384,5359295,5175560,4517058,219349,157523,317762.0,12.2,6.0,1394890,58276,309473,306991,536107,237159,CO,84.28455608433572,4.092870424188256,2.9392485392201775,96.5716572795489,5.929175385941621,26.027490556127255,27.01859106468295,100.0,39.0,2.0,1.6502600562309613,0.6436014219300749,5.5563787227737444,0.03300520112461922,1.8526581012107122
2017,Colorado,65458,88388,5436519,5247610,4576201,221155,164771,320192.0,11.5,5.2,1390638,59652,326654,317556,547357,254906,CO,84.17520475878038,4.0679523055101985,3.030818065751265,96.52518458962436,5.889651080038532,25.57956663077973,27.70384873114579,77.0,23.0,4.0,7.524005976210462,2.2474303565303977,539.906103286385,0.39085745330963434,53.468787595241274
2018,Colorado,68811,92520,5531141,5333813,4655584,227938,172695,318943.0,10.9,4.7,1396806,63500,345567,327315,557686,274324,CO,84.17040896263538,4.120994203546791,3.122231018880191,96.43241783205309,5.766314762180172,25.25348748115443,28.355668387408674,96.0,33.0,2.0,5.102965620363809,1.7541444320000597,37.335384893877,0.10631178375757935,5.025883298989798
2019,Colorado,72331,96970,5610349,5404625,4712574,233647,178147,311492.0,10.3,4.3,1395735,65968,365783,337146,568467,293738,CO,83.99787606795941,4.164571580128081,3.1753283084528254,96.33313364284469,5.55209666992196,24.87786410435429,29.07309331380276,229.0,84.0,8.0,8.065731840128036,2.9586090592609393,34.48955459203784,0.2817722913581847,3.5936966560652617
2020,Colorado,75231,100933,5684926,5347697,4634305,235692,181733,297054.0,9.8,4.6,1388732,69126,378703,348097,581216,314837,CO,81.51917896556613,4.145911485919078,3.196752253239532,94.0680142538355,5.225292290524098,24.428321494422267,29.762550998904825,280.0,109.0,10.0,21.092231053338487,8.210904231478196,623.462792426929,0.7532939661906602,31.158471988533684
2016,Connecticut,71755,102616,3588570,3481582,2768080,372696,152782,254629.0,10.4,8.0,932279,49505,183834,188916,398099,167470,CT,77.13601796816002,10.385641077086415,4.25746188593228,97.01864530997027,7.0955561686131245,25.979122603153904,27.526953633341417,108.0,23.0,13.0,1.2113794291621203,0.25797895250674785,1.905202112951978,0.14581419054729225,1.586898565443697
2017,Connecticut,73781,105998,3594478,3483824,2757064,376240,156450,254388.0,10.1,7.2,919823,52301,187454,187564,399623,178558,CT,76.7027646295234,10.46716658162882,4.352509599446707,96.92155578640347,7.077188954835723,25.589890938266972,27.97346374077126,109.0,44.0,1.0,5.233668912342767,2.1126736893860714,104.86927092022785,0.04801531112241072,3.428414701042238
2018,Connecticut,76106,109693,3581504,3468074,2734880,378262,158817,250818.0,10.0,6.5,906545,54555,190133,188343,398377,188374,CT,76.36121584675041,10.561540626507746,4.434366121048587,96.83289478386735,7.003147281142224,25.311852227444113,28.473568646021334,92.0,34.0,5.0,0.4670653678797217,0.1726111142164189,1.1063105908414403,0.025383987384767485,0.3126532000680334
2019,Connecticut,78444,113031,3575074,3456074,2714031,383416,161257,248326.0,9.9,6.0,898354,55686,193210,188520,396023,197712,CT,75.91537965367989,10.724701083110448,4.51059194858624,96.67139757107125,6.946038040051758,25.128263079309686,28.842787589851287,80.0,26.0,2.0,0.8047619373356022,0.26154762963407074,1.2165842898727313,0.020119048433390053,0.7857002553525829
2020,Connecticut,79855,115337,3570549,3397902,2649994,382161,163262,241531.0,9.8,6.0,888200,58367,196365,195268,395887,208480,CT,74.21811043623823,10.703143970297004,4.572462105967458,95.1646931606316,6.76453396942599,24.87572639389629,29.529548537213746,97.0,29.0,7.0,13.176447575397807,3.9393503060467667,196.46365422396855,0.950877660080254,75.30120481927712
2016,Delaware,61017,80432,934695,908864,647002,203027,34428,43979.0,12.0,7.1,232558,9353,41065,38512,76156,39588,DE,69.22065486602582,21.72120317322763,3.6833405549403815,97.23642471608386,4.70517120558043,24.880629510161068,21.89741038520587,15.0,7.0,0.0,0.1294560833614325,0.06041283890200183,0.4922841492239844,0.0,0.0
2017,Delaware,63036,84146,943732,917472,652170,206290,36553,45639.0,12.1,6.4,232461,9086,41824,38933,78503,42509,DE,69.10542399749082,21.858959958971404,3.873239436619718,97.21743037218194,4.836012766336205,24.632098943344086,22.342677794119517,29.0,3.0,2.0,0.7482733592235916,0.07740758888519912,1.0664960273022983,0.05160505925679942,2.579280638629886
2018,Delaware,65627,86962,949495,923486,654905,209892,36723,45905.0,11.9,5.9,230566,8154,42110,38401,80117,46604,DE,68.97403356521097,22.105645632678424,3.867634900657718,97.2607544010237,4.834675274751315,24.28301360196736,22.684269006155905,21.0,7.0,2.0,0.527337820392254,0.17577927346408465,9.457925741771604,0.050222649561167045,1.2487902344603665
2019,Delaware,68287,90092,957248,930169,658237,212302,37009,47674.0,11.8,5.5,228567,8231,42390,39284,82079,50385,DE,68.76347613157718,22.178369659691114,3.8661872367453367,97.17116149628936,4.98031857992913,23.877511365915623,23.23003025339306,22.0,6.0,0.0,0.17209042225279347,0.04693375152348913,0.4253620717401492,0.0,0.0
2020,Delaware,69110,92308,967679,930112,652587,212795,38528,44205.0,11.4,5.8,225882,8138,43887,39884,83035,55237,DE,67.43837574236912,21.990246765714662,3.98148559594659,96.11782419583353,4.568147081831889,23.342658050861907,23.786916942498493,13.0,9.0,0.0,1.2328222810815834,0.8534923484410963,13.065064018813692,0.0,0.0
2016,Florida,48900,69936,19934451,19439083,15130748,3216994,521272,1832945.0,16.1,8.4,4682150,148085,715813,739405,1484377,990201,FL,75.90250667048718,16.137861032641432,2.6149303033226245,97.51501558783836,9.194860696188725,23.487729860230413,20.456449992026368,110.0,47.0,9.0,17.564898307222844,7.505002003995216,634.7920043219881,1.437128043318233,97.69865392965697
2017,Florida,50883,72993,20278447,19763624,15343997,3270863,543394,1871063.0,15.5,7.2,4707573,154508,749399,766303,1525467,1054689,FL,75.66652909860406,16.1297509616984,2.6796627966628805,97.46123063565962,9.226855488489823,23.214662345691462,20.960017303100184,145.0,50.0,6.0,1.7448224799559007,0.6016629241227244,3.132141282123241,0.07219955089472692,1.1931323303067543
2018,Florida,53267,76652,20598139,20055799,15529098,3316376,559168,1897939.0,14.8,6.3,4737877,160380,792325,796106,1568556,1126470,FL,75.3907816623628,16.10036712539905,2.7146530082159366,97.3670436926365,9.214128519086117,23.00148086193612,21.573973260399885,141.0,65.0,3.0,1.9934552460814468,0.9189687304630783,25.29281294992023,0.042413941405988226,0.543446756709756
2019,Florida,55660,80286,20901636,20329615,15702256,3359031,571276,1908023.0,14.0,5.6,4758186,168910,826066,830309,1618608,1196718,FL,75.12453092188574,16.07066068895277,2.733164045149384,97.26327164055483,9.128582088024114,22.76465823058061,22.202142454303576,111.0,24.0,0.0,6.012701425497754,1.3000435514589739,37.91169733828292,0.0,0.0
2020,Florida,57703,83104,21216924,19939907,15199588,3381061,590668,1889101.0,13.3,5.4,4774888,179461,861773,864860,1669520,1263793,FL,71.63898027819678,15.935679460415658,2.7839473808738724,93.98113977313582,8.903745896436261,22.505090747367525,22.80918289569214,109.0,27.0,0.0,1.894071694610306,0.4691737225181492,7.464130705222128,0.0,0.0
2016,Georgia,51037,71420,10099320,9876863,6039389,3148134,373983,591724.0,17.8,8.5,2766817,84277,419391,457606,767746,293347,GA,59.79995682877659,31.17174225591426,3.703051294542603,97.79730714543157,5.859047935900635,27.396072210802313,20.02478384683325,39.0,12.0,4.0,6.689204139073699,2.058216658176523,186.4801864801865,0.6860722193921743,74.28040854224697
2017,Georgia,52977,74763,10201635,9964394,6061821,3195268,388946,596894.0,16.9,7.5,2756619,87541,433498,463280,789413,317340,GA,59.420092955687984,31.32113626884318,3.8125849434919012,97.67448061021591,5.850964085658818,27.021345107916527,20.49742026645729,26.0,8.0,0.0,0.7366722530979193,0.22666838556859054,2.499320497239813,0.0,0.0
2018,Georgia,55679,78574,10297484,10045036,6079976,3239300,402501,591482.0,16.0,6.4,2755788,91307,450016,471616,818279,340205,GA,59.043315823554565,31.457198671054016,3.908731492080978,97.54844969897502,5.743946773794454,26.761760445561265,21.08692764174239,37.0,19.0,3.0,0.7627653418394725,0.39169031067432375,1.4761099375605498,0.0618458385275248,4.77592931624612
2019,Georgia,58700,82406,10403847,10137935,6098889,3289020,414481,594599.0,15.1,5.7,2749494,95103,469041,480173,844978,363424,GA,58.62147915093331,31.613498353061132,3.9839205632301207,97.44409928365921,5.715184008376902,26.427666612167595,21.652750179813292,146.0,25.0,0.0,19.768063745235693,3.3849424221294,105.47633111129863,0.0,0.0
2020,Georgia,61224,85691,10516579,10123410,6020265,3319844,434603,582832.0,14.3,5.6,2743653,101486,493697,494899,873289,390777,GA,57.24546927285004,31.56771798129411,4.132551089094657,96.26143634731409,5.542030350363935,26.08883554243257,22.385112116782462,252.0,69.0,0.0,3.7004698715672633,1.0132238934053222,23.56307904559285,0.0,0.0
2016,Hawaii,71977,91169,1413673,1077044,353643,25871,537363,109721.0,10.8,5.5,333842,11365,62300,61274,118642,62985,HI,25.015898301799638,1.8300554654435646,38.011831590473896,76.18763320796252,7.761413000036075,23.615220775950306,22.393155984446192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Hawaii,74923,95569,1421658,1083160,357308,25884,540556,108079.0,10.3,4.9,330239,11059,63832,63756,118878,68884,HI,25.13318955754478,1.8206910522783961,38.0229281585304,76.18991346723332,7.60232067065356,23.229145124917526,22.95974137239758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,Hawaii,78084,99765,1422029,1080273,355612,26266,536842,109216.0,9.9,4.5,327620,10899,63529,65477,118226,73764,HI,25.007366235147106,1.8470790680077551,37.7518320653095,75.96701614383392,7.680293439866556,23.03891130209018,23.339538082556686,44.0,20.0,5.0,0.8093414186541057,0.3678824630245935,9.043431077750899,0.09197061575614837,3.0345145687044446
2019,Hawaii,81275,103780,1422094,1082367,354847,26025,537355,108827.0,9.4,4.3,325063,10986,64678,66812,117707,78269,HI,24.952429304954524,1.8300478027472165,37.786180097799445,76.11079155105077,7.652588366169888,22.858052983839325,23.79955192835354,40.0,5.0,0.0,1.1128180503539038,0.13910225629423797,1.3289389751222622,0.0,0.0
2020,Hawaii,83173,107348,1420074,1075156,342923,26717,534519,107122.0,9.3,4.6,318529,10898,64850,69630,116998,83011,HI,24.148248612396255,1.881380829449733,37.640221565918395,75.71126575093973,7.54340970963485,22.43045080749313,24.321760696977762,36.0,14.0,0.0,3.8146422925152477,1.4834720026448187,6.786562606040041,0.0,0.0
2016,Idaho,49174,64513,1635483,1593433,1493155,10433,21630,61286.0,15.2,6.2,445695,9825,54254,60560,103653,56517,ID,91.29749437933626,0.637915527095054,1.3225450830121743,97.42889409428285,3.7472722125512767,27.25158256001438,17.414366275895254,27.0,8.0,3.0,4.015520731241197,1.1897839203677623,2.491730569173555,0.4461689701379108,11.738007668831676
2017,Idaho,50985,67338,1657375,1613461,1507880,11231,22720,60680.0,14.5,5.4,445420,10510,55741,63541,105865,59994,ID,90.98001357568444,0.6776378309073082,1.3708424466400182,97.35038841541595,3.6612112527339917,26.875028282675917,17.838509691530284,41.0,16.0,0.0,0.20218510815941673,0.07890150562318703,0.48916753774156846,0.0,0.0
2018,Idaho,53089,70620,1687809,1641217,1527262,11536,23758,61275.0,13.8,4.7,449479,10220,57089,65617,106655,63908,ID,90.48784548488604,0.683489660263691,1.4076237299362666,97.239498071168,3.630446336048688,26.63091617594171,17.981240768357083,23.0,7.0,1.0,0.22545405711927546,0.06861645216673601,0.21907395561186105,0.009802350309533718,0.25710509942254195
2019,Idaho,55785,73810,1717750,1667181,1545409,11918,24287,60945.0,13.1,4.3,451807,11116,59841,67892,110424,69380,ID,89.96704991995342,0.6938145830301266,1.4138844418570804,97.05609081647503,3.5479551739193713,26.302255857953718,18.550603987774707,21.0,11.0,0.0,1.4771485125114479,0.7737444589345679,42.49729562664194,0.0,0.0
2020,Idaho,58915,77399,1754367,1679271,1550979,11536,24501,58823.0,11.9,4.2,456826,12811,63022,73876,114392,77057,ID,88.4067586770613,0.6575591082139598,1.396572096944368,95.71948172759748,3.352947245359722,26.039363485519278,19.44621621359727,48.0,11.0,0.0,2.8961460140282074,0.6637001282147975,97.94319294809011,0.0,0.0
2016,Illinois,59196,81865,12851684,12551462,9270907,1837612,655799,923516.0,14.0,8.2,3384628,159240,713464,627162,1071268,422975,IL,72.13768250137493,14.298608649263397,5.102825435172543,97.66394816430282,7.185953218270851,26.336066152887046,23.297406005314166,111.0,62.0,7.0,0.8635090862160145,0.48232039049903513,3.3815089274562706,0.054455527959568484,1.0419597178373086
2017,Illinois,61229,85262,12854526,12543129,9236701,1833501,671811,913882.0,13.5,7.4,3333318,160396,724287,631513,1083206,459578,IL,71.85563279423917,14.263466424199539,5.226260384863666,97.57753027999632,7.109418114678053,25.93108450673327,23.796910131108685,85.0,25.0,3.0,1.285071490794806,0.377962203174943,4.07790428343066,0.04535546438099316,2.1789657176060433
2018,Illinois,63575,88857,12821497,12503084,9189185,1824125,690822,898381.0,13.1,6.6,3281552,163338,737351,641424,1091954,487062,IL,71.67014116994295,14.227082843758415,5.387997984946687,97.5165692430455,7.006833913387806,25.594140840184266,24.34293749006064,110.0,36.0,4.0,3.5277870961245013,1.1545485041862005,33.71986287255765,0.12828316713180005,5.619713956559611
2019,Illinois,65886,92395,12770631,12442185,9134903,1813590,698524,885687.0,12.5,5.9,3228360,164576,741538,653267,1102437,512783,IL,71.53055318879701,14.201255991187905,5.469768878295834,97.4281145544022,6.935342505785344,25.279565277549715,24.85860722152257,66.0,22.0,0.0,2.2728681529846892,0.757622717661563,13.058704813913456,0.0,0.0
2020,Illinois,68428,95115,12716164,12176612,8874067,1796660,709567,849567.0,12.0,6.0,3166891,169308,754461,670731,1114169,545913,IL,69.78572311587048,14.128946433845929,5.580039703797466,95.75695941008625,6.681000653970805,24.904452317538528,25.594054936693173,61.0,23.0,0.0,1.378725497109649,0.5198473185823267,6.513956860612652,0.0,0.0
2016,Indiana,50433,66480,6589578,6443262,5534759,608226,130232,203764.0,15.0,6.9,1717877,61134,247305,234101,412763,173893,IN,83.99261682614578,9.23012065416025,1.9763329305761308,97.77958467143117,3.092216223861376,26.06960567125846,17.136089746566473,79.0,32.0,7.0,1.6940208141549806,0.6861856462399921,2.132412131292615,0.15010311011499827,8.644109656705359
2017,Indiana,52182,69197,6614418,6460980,5546787,613060,137680,206958.0,14.6,6.1,1697392,63476,255136,239441,423521,188210,IN,83.8590334024853,9.268540331137222,2.081513445325046,97.68024941876973,3.1288920657871944,25.662000798860912,17.6853655151519,97.0,33.0,3.0,7.292366771466247,2.480908283076146,195.19697148941205,0.225537116643286,20.264793299108348
2018,Indiana,54325,71912,6637426,6475131,5548277,619472,144991,207242.0,14.1,5.4,1680206,65499,262779,246357,429061,201711,IN,83.5907925753146,9.333015539457614,2.1844461994755195,97.55485032902816,3.122324828932179,25.31412026288504,18.160759909037026,96.0,30.0,2.0,1.601046283746428,0.5003269636707588,1.6832598683915219,0.03335513091138392,0.5360996073070377
2019,Indiana,56303,75025,6665703,6495992,5553391,626587,151979,210480.0,13.4,4.8,1668419,67939,269165,252887,436936,213168,IN,83.31290788083417,9.400163793676377,2.2800145761069763,97.45396697092565,3.1576564392382918,25.02990307248913,18.604114224711182,87.0,30.0,0.0,1.2814245434630485,0.44187053222863737,6.002713226378323,0.0,0.0
2020,Indiana,58235,76984,6696893,6474302,5510354,631923,158705,212224.0,12.9,4.7,1654841,70223,275016,262544,446152,229082,IN,82.2822464088944,9.436062365040026,2.3698303078756076,96.67620492069979,3.1689919489530443,24.71057847273355,19.15839180945552,184.0,90.0,5.0,1.8537981906929657,0.9067491150128637,6.5477641204352075,0.050374950834047985,1.7296130509682375
2016,Iowa,54570,70708,3106589,3045295,2823890,103052,66570,94491.0,12.3,4.5,810892,33203,131847,122454,208561,96569,IA,90.90001928159792,3.3172073937041557,2.1428647304165436,98.02696784157801,3.041631834787286,26.102326377901935,19.076678633704038,17.0,5.0,4.0,0.3096129728564128,0.09106263907541552,1.5292717913583909,0.07285011126033242,1.5628968292730576
2017,Iowa,56570,73510,3118102,3055368,2824197,106762,71178,97268.0,12.0,4.1,807407,34342,133953,125366,210744,102362,IA,90.57423394103208,3.423941872331309,2.2827348175268156,97.98807094828842,3.1194617751439817,25.89418178109632,19.459498117765232,10.0,4.0,0.0,0.33487150980168906,0.13394860392067565,0.3563233135217571,0.0,0.0
2018,Iowa,58580,75951,3132499,3066729,2827889,109911,75083,100396.0,11.7,3.9,802285,35615,136597,129868,211272,109280,IA,90.27581493242296,3.5087321655968604,2.396904196936695,97.90039837203459,3.2049810710234863,25.61166021122433,19.87652669641714,15.0,5.0,2.0,0.24690138758579822,0.08230046252859942,0.7111758439168152,0.03292018501143976,1.7705539177931815
2019,Iowa,60523,78411,3139508,3072923,2826070,116359,75741,99826.0,11.5,3.7,797393,35516,137604,132660,211735,115832,IA,90.01633376949509,3.7062813663797005,2.4125117693600395,97.87912628348137,3.179670190361038,25.398661191498796,20.173447559299102,9.0,4.0,0.0,0.8739034938661685,0.38840155282940825,90.13068949977468,0.0,0.0
2020,Iowa,61836,80316,3150011,3057032,2806418,117035,79296,100493.0,11.1,3.9,785736,37169,141732,138391,213098,123894,IA,89.09232380458354,3.71538385104052,2.5173245426762003,97.0482960218234,3.1902428277234587,24.943912894272433,20.77084810180028,21.0,6.0,0.0,1.1088107687701863,0.3168030767914818,6.687621213134488,0.0,0.0
2016,Kansas,53571,71975,2898292,2802262,2468923,167706,77605,126903.0,13.3,5.3,789812,29064,132354,123257,233051,105139,KS,85.18544715301289,5.786373491697868,2.6776115036028116,96.68666925209745,4.378544328866794,27.2509464194774,21.49076076530591,52.0,21.0,6.0,1.8007254845942742,0.7272160610861491,8.299968776307937,0.20777601745318544,2.5806229623831194
2017,Kansas,55477,74633,2903820,2805405,2465518,168470,80738,127777.0,12.8,4.8,783160,30944,133846,127575,235745,113180,KS,84.90602034561371,5.801668147474706,2.7804064990254216,96.61084364733351,4.4003071815746155,26.969991252901348,22.08435784587199,77.0,37.0,1.0,5.781440524744565,2.778094797604531,198.58308286818377,0.07508364317850086,3.0018311169813585
2018,Kansas,57422,77509,2908776,2807732,2460619,169801,83531,126705.0,12.4,4.4,778732,31921,136697,129717,236383,120279,KS,84.59293531024733,5.837541288844517,2.8716889853326624,96.52623646509736,4.355955907226957,26.771810548491874,22.517959444109824,75.0,21.0,2.0,0.8370385308924694,0.23437078864989144,1.739337858924791,0.022321027490465852,0.23693734784179696
2019,Kansas,59597,80009,2910652,2810095,2455935,170291,85794,126024.0,12.0,4.1,772562,32086,139634,131626,236818,126992,KS,84.37748655627674,5.850613539509361,2.947587001125521,96.54520705326503,4.32975154707605,26.542575340507902,22.92118741780192,75.0,35.0,0.0,3.597419067664095,1.678795564909911,82.96394623936284,0.0,0.0
2020,Kansas,61091,82103,2912619,2772574,2416165,165837,87093,119639.0,11.4,4.1,758270,33338,139452,136417,236638,136106,KS,82.95506552693641,5.693741611930705,2.990195422058292,95.19178443867872,4.107608993829952,26.033957754172448,23.41366996507267,124.0,51.0,2.0,0.6263186786211372,0.25759881136837093,1.6447978430572598,0.010101914171308665,0.12100340866602212
2016,Kentucky,44811,61757,4411989,4319152,3859516,350242,57084,97069.0,18.8,7.6,1085773,34137,152341,150734,257798,113292,KY,87.47791528945335,7.938415077644119,1.293838221264831,97.89580164411107,2.2001188126262328,24.609603514423995,16.054029146491526,214.0,80.0,24.0,2.128810122472237,0.7958168682139204,3.7046864746990753,0.2387450604641761,8.91649700554309
2017,Kentucky,46535,64436,4424376,4328073,3862600,353088,59593,99437.0,18.3,6.8,1074127,35211,156290,153412,261035,121831,KY,87.30270664156934,7.980515218417242,1.3469244024468083,97.82335407298113,2.247480774690035,24.277480033342556,16.449302681327264,377.0,58.0,0.0,50.57178309131762,7.780274321741171,334.00518283904404,0.0,0.0
2018,Kentucky,48392,67110,4440204,4340378,3866676,354112,62802,102677.0,17.9,6.1,1066088,36188,160057,156158,263220,130168,KY,87.08329617287855,7.975129070646305,1.4143944737674214,97.7517699637224,2.3124387978570353,24.0098878339824,16.796322871651842,228.0,93.0,1.0,1.9638655627215593,0.8010504268995834,6.5115562619466045,0.008613445450533155,0.4239479731047406
2019,Kentucky,50589,70144,4449052,4348767,3868479,358928,65191,103404.0,17.3,5.6,1054000,37297,163311,159768,268958,139045,KY,86.95063577589114,8.067516405742166,1.4652784458352026,97.74592430027789,2.324180522052788,23.69044012072684,17.270623045089156,136.0,78.0,0.0,3.4905348757048764,2.0019244140072083,27.482110203261914,0.0,0.0
2020,Kentucky,52238,72318,4461952,4337236,3848305,361230,68139,104872.0,16.6,5.4,1043315,39681,170054,162910,277772,148596,KY,86.24711785335208,8.095784087323217,1.5271119008003673,97.20490045612324,2.3503614561519264,23.38247923778651,17.9072522519292,155.0,52.0,17.0,3.8508101731945357,1.2918847032652634,68.11007636187408,0.42234692222133613,10.2193554592398
2016,Louisiana,45652,65229,4645670,4560511,2909290,1494201,78719,109960.0,19.7,7.7,1176907,34572,173340,145928,259639,124968,LA,62.623690447233656,32.16330475475012,1.6944595720315907,98.16691672030083,2.366935232162422,25.333417999987084,15.895382151551877,25.0,8.0,2.0,0.19545748975509566,0.06254639672163062,0.564329706809555,0.015636599180407655,0.4790132327405544
2017,Louisiana,46710,66861,4663461,4575938,2909599,1500648,80980,114487.0,19.6,7.2,1167557,34315,177466,150792,261387,133807,LA,62.39140844106984,32.17884742683599,1.73647855101608,98.1232179276293,2.4549792525336867,25.036276705219578,16.24902620607313,42.0,8.0,0.0,3.976753037955267,0.7574767691343367,11.705147338542124,0.0,0.0
2018,Louisiana,47942,68823,4663616,4572053,2901106,1502916,79872,114528.0,19.4,6.9,1160552,33977,178675,153950,262856,142112,LA,62.207222893137,32.22640972155512,1.712662449052409,98.03665224581097,2.455776804951351,24.885239264982363,16.544458205821407,45.0,13.0,0.0,0.9195977311684778,0.2656615667820047,0.9758953840148336,0.0,0.0
2019,Louisiana,49469,71001,4664362,4569403,2892275,1502963,80806,114467.0,19.2,6.5,1154067,33931,180752,158473,264062,150298,LA,62.00794449487411,32.222263194837794,1.732412707246993,97.96415887103103,2.4540762487988714,24.742226268029796,16.883680983594328,26.0,15.0,0.0,3.039357339580382,1.753475388219451,102.05470131990748,0.0,0.0
2020,Louisiana,50800,73759,4664616,4538963,2856904,1500633,80930,113130.0,18.6,6.6,1145889,36055,176581,168336,270865,164765,LA,61.246284796004645,32.170558090955396,1.7349766840400151,97.30625200445225,2.425280023050129,24.565559094253416,17.506307057215427,61.0,32.0,4.0,0.9246093260340732,0.4850409579195138,2.8896723111599147,0.060630119739939224,3.6164730346729352
2016,Maine,50826,67011,1329923,1302797,1260476,16303,14643,21540.0,13.5,6.0,296853,11291,48693,49872,115638,66367,ME,94.77811873318981,1.225860444552053,1.10104118809886,97.96033304183777,1.619642640964928,22.32106670837334,21.945706631135785,41.0,8.0,0.0,0.14952800936789332,0.029176196949832846,0.24338672629641459,0.0,0.0
2017,Maine,53024,70210,1330158,1302056,1258918,16906,14804,20960.0,12.9,5.3,293384,11326,51326,52085,116515,71101,ME,94.64424527011077,1.2709768313237977,1.1129504915957351,97.88731864936346,1.5757526549477583,22.056327143091274,22.730607942815816,31.0,10.0,0.0,1.0354245457742821,0.3340079179917039,29.745084624765756,0.0,0.0
2018,Maine,55425,73210,1332813,1303605,1259217,17881,14917,21424.0,12.5,4.6,287204,11978,53555,53324,116610,75790,ME,94.47814509612377,1.3415985588375863,1.119211772394177,97.80854478460219,1.607427298503241,21.548709383837043,23.353388659924533,20.0,4.0,0.0,3.201864766039742,0.6403729532079483,50.49867440979674,0.0,0.0
2019,Maine,57918,76227,1335492,1305696,1259522,18468,15109,20835.0,11.8,4.1,283155,12150,55350,55879,117323,81336,ME,94.31145974667015,1.382861147801709,1.13134335510808,97.76891213125948,1.5600991993961775,21.20229847876288,24.113809742027655,19.0,6.0,3.0,0.22711103291054024,0.07171927355069692,0.3737276907926577,0.03585963677534846,0.5767910805027311
2020,Maine,59489,78301,1340825,1303865,1256030,18635,15270,21731.0,11.1,4.0,278782,13324,58195,57285,117734,85961,ME,93.67590848917644,1.3898159715100777,1.1388510804914884,97.24348815095183,1.6207185874368393,20.791825928066675,24.798090727723604,84.0,47.0,0.0,1.1715535092420928,0.6555120825521233,17.95654516071108,0.0,0.0
2016,Maryland,76067,100071,5959902,5773749,3408240,1765926,362259,442757.0,9.9,6.7,1564161,73573,336697,333297,625140,261577,MD,57.18617520892122,29.63011807912278,6.078271085665503,96.87657615846703,7.428930878393639,26.244743621623307,27.35420817322164,38.0,5.0,0.0,2.06876690060065,0.2722061711316645,7.656967840735069,0.0,0.0
2017,Maryland,78916,103845,5996079,5806478,3395212,1782256,373065,443489.0,9.7,6.1,1555036,73818,343799,338651,636637,277910,MD,56.623870365950815,29.723691098799733,6.221815956727721,96.83791691203535,7.396316826379372,25.934214675957406,27.865126526851963,100.0,24.0,0.0,1.7351420222420915,0.416434085338102,6.559456002448864,0.0,0.0
