YEAR,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,18_24_BACHELOR_HIGHER,25_34_BACHELOR_HIGHER,35_44_BACHELOR_HIGHER,45_64_BACHELOR_HIGHER,65_MORE_BACHELOR_HIGHER,STATE_ABBR,WHITE_PER_CAPITA,BLACK_PER_CAPITA,ASIAN_PER_CAPITA,ONE_RACE_RATIO,FOREIGN_BORN_NON_US_RATIO,SCHOOL_ENROLLMENT_RATE,BACHELOR_HIGHER_RATIO,ALL_HATE_CRIME,BLACK_HATE_CRIME,ASIAN_HATE_CRIME,ALL_HC_PER_CAPITA,BLACK_HC_PER_CAPITA_POP,BLACK_HC_PER_CAPITA_RACE_POP,ASIAN_HC_PER_CAPITA_POP,ASIAN_HC_PER_CAPITA_RACE_POP
2017,West Virginia,44061,59634,1836843,1805043,1714591,65300,14096,14628.0,17.8,7.2,398364,12692,54756,51779,98988,51898,WV,93.34445023336235,3.555012594979538,0.7674036376543885,98.26876875160261,0.7963663742627975,21.68742783133888,14.70528510057746,38.0,19.0,3.0,0.29699368145942695,0.14849684072971348,1.3384221552541524,0.023446869588902127,0.6676755986824534
2018,West Virginia,44921,61225,1829054,1796915,1704345,66728,14534,14627.0,17.8,6.7,393995,13167,55295,51837,99196,55422,WV,93.1817759344448,3.6482247106974426,0.7946184202325355,98.24286215715884,0.7997030158759666,21.540916779931045,15.030556779624876,85.0,55.0,0.0,8.035560664701578,5.199480430101021,79.4843632579918,0.0,0.0
2019,West Virginia,46711,63680,1817305,1785170,1691600,66990,14523,14631.0,17.6,6.5,387707,13634,54775,52911,98502,59210,WV,93.08288922332795,3.6862276833002716,0.7991503902757104,98.23172224805413,0.8050932562228134,21.33417340512462,15.354164545852237,54.0,27.0,2.0,1.0605876401866086,0.5302938200933043,2.005109315589354,0.03928102371061513,2.393117394373781
2020,West Virginia,48037,65332,1807426,1763666,1672255,64285,14228,14596.0,17.1,6.5,378326,14131,55167,55997,98802,63459,WV,92.52135357132187,3.556715461656521,0.7871968202294313,97.57887736482711,0.8075572665215617,20.931755988903557,15.909696994510425,82.0,45.0,1.0,9.32521811912625,5.117497748300991,238.90422595030793,0.11372217218446647,8.05607024893257
2016,Wisconsin,54610,71459,5754798,5628875,4961193,361730,148077,155467.0,12.7,5.5,1462332,59361,245009,232688,435829,190556,WI,86.20968103485127,6.285711505425559,2.57310508553037,97.81186064219804,2.701519671064041,25.410657333237413,20.21692160176604,39.0,15.0,2.0,0.5758779776582971,0.2214915298685758,1.32883772765205,0.02953220398247677,1.6273790247117506
2017,Wisconsin,56759,74372,5763217,5632126,4950577,365884,152325,155747.0,12.3,4.7,1442264,60997,252513,237016,439879,205073,WI,85.89954187045187,6.348607036660255,2.643055085380266,97.72538497162262,2.7024316453813904,25.025328735669678,20.74324114465931,42.0,7.0,0.0,0.14667138715721587,0.024445231192869312,0.2020537901827259,0.0,0.0
2018,Wisconsin,59209,77687,5778394,5642404,4945966,368744,159356,156733.0,11.9,4.0,1425678,62942,257639,241287,443582,217982,WI,85.59412874926839,6.381427088564746,2.757790486422352,97.64657792459289,2.7123972508624368,24.672564729923227,21.1725264840023,48.0,31.0,1.0,1.5232103943877313,0.9837400463754098,81.45248167319163,0.031733549883077736,1.3663068725235687
2019,Wisconsin,61747,80674,5790716,5652144,4946961,371200,161841,157612.0,11.3,3.6,1411273,64325,263030,249828,447369,231102,WI,85.42917663377033,6.410260838210681,2.7948357336122163,97.60699713127012,2.7218050410346493,24.37130399764036,21.683916116763456,49.0,28.0,1.0,7.8482877919082545,4.484735881090431,351.5821195379206,0.16016913861037255,9.875567845151096
2020,Wisconsin,63293,82757,5806975,5612411,4895065,367889,163396,153679.0,11.0,3.6,1393087,66641,269169,257626,453528,246224,WI,84.29629884750666,6.335295054654101,2.813788590445111,96.64947756792478,2.646455340345016,23.989891466727514,22.26956375737798,156.0,85.0,13.0,1.8332757888432947,0.9989002695620515,5.244812417741287,0.1527729824036079,2.2791103755623268
2016,Wyoming,59143,74667,583029,567498,531851,6435,5385,12683.0,11.6,4.9,149521,3548,21907,19097,39777,19893,WY,91.22204898898683,1.1037186829471606,0.9236247253567146,97.33615309015504,2.1753634896377365,25.645551078934325,17.8759547123728,3.0,2.0,1.0,0.03993363030643071,0.02662242020428714,0.6890730245137728,0.01331121010214357,0.150851860455995
2017,Wyoming,60938,76731,583200,567883,532394,6121,5102,12807.0,11.1,4.7,147269,3682,22664,19885,39631,21774,WY,91.28840877914952,1.049554183813443,0.8748285322359396,97.37362825788752,2.1959876543209877,25.25188614540466,18.45610425240055,4.0,2.0,0.0,0.22130919882750386,0.11065459941375193,3.111145679396438,0.0,0.0
2018,Wyoming,62268,79257,581836,566257,532008,5540,4756,12581.0,11.1,4.5,145568,3706,21721,20843,39281,22832,WY,91.43607477021017,0.9521583401508329,0.8174124667432061,97.32244137523288,2.162293154772135,25.01873380127734,18.62775764992197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Wyoming,64049,81880,581024,565503,531304,5582,5025,12076.0,11.0,4.5,144936,3929,21333,22227,38501,24794,WY,91.44269427768904,0.9607176295643554,0.8648523985239853,97.32868177562372,2.078399515338437,24.944924822382553,19.067026491160437,5.0,4.0,0.0,0.8600700441043918,0.6880560352835134,78.75566056310298,0.0,0.0
2020,Wyoming,65304,83583,581348,558630,525246,5079,4892,11739.0,10.8,4.4,145076,4334,21190,23173,39264,27072,WY,90.34967007713108,0.8736591508012412,0.8414925311517369,96.09218574760729,2.0192724495482914,24.95510434369775,19.787287476692104,18.0,10.0,0.0,0.5528863431544377,0.3071590795302432,2.7180855979516507,0.0,0.0
